21stCenturyWire,conspiracy_pseudoscience
Activist Post,conspiracy_pseudoscience
Infowars,conspiracy_pseudoscience
Prison Planet,conspiracy_pseudoscience
True Pundit,conspiracy_pseudoscience
Live Action,conspiracy_pseudoscience
Counter Current News,conspiracy_pseudoscience
GlobalResearch,conspiracy_pseudoscience
HumansAreFree,conspiracy_pseudoscience
Intellihub,conspiracy_pseudoscience
NODISINFO,conspiracy_pseudoscience
Natural News,conspiracy_pseudoscience
The Daily Star,conspiracy_pseudoscience
TheAntiMedia,conspiracy_pseudoscience
Veterans Today,conspiracy_pseudoscience
Waking Times,conspiracy_pseudoscience
sott.net,conspiracy_pseudoscience
Reuters,least_biased
Foreign Policy,least_biased
Politico,least_biased
RightWingWatch,left_bias
Alternet,left_bias
Daily Kos,left_bias
MSNBC,left_bias
Media Matters for America,left_bias
MotherJones,left_bias
Raw Story,left_bias
Salon,left_bias
ThinkProgress,left_bias
Washington Monthly,left_bias
Addicting Info,left_bias
Crooks and Liars,left_bias
Feministing Blog,left_bias
Forward Progessives,left_bias
Palmer Report,left_bias
Shadow Proof,left_bias
Shareblue,left_bias
Talking Points Memo,left_bias
Daily Beast,left_bias
New Yorker,left_bias
Slate,left_bias
The Huffington Post,left_bias
Vox,left_bias
CNN,left_bias
Newsweek,left_bias
Pink News UK,left_bias
Pravada Report,left_bias
Telesur TV,left_bias
The Daily Mirror,left_bias
The Daily Record,left_bias
New York Daily News,left_center_bias
The Intercept,left_center_bias
Yahoo News,left_center_bias
ABC News,left_center_bias
Buzzfeed,left_center_bias
CBS News,left_center_bias
Chicago Sun-Times,left_center_bias
The Atlantic,left_center_bias
The Guardian,left_center_bias
The New York Times,left_center_bias
The Verge,left_center_bias
Washington Post,left_center_bias
Al Jazeera,left_center_bias
BBC,left_center_bias
Business Insider,left_center_bias
CNBC,left_center_bias
FiveThirtyEight,left_center_bias
NPR,left_center_bias
PBS,left_center_bias
The Hill,left_center_bias
USA Today,left_center_bias
Birmingham Mail,left_center_bias
Democracy 21,left_center_bias
France24,left_center_bias
Fusion,left_center_bias
Interpreter Mag,left_center_bias
Mercury News,left_center_bias
SkyNewsPolitics,left_center_bias
SkyNewsUS,left_center_bias
Spiegel,left_center_bias
The Denver Post,left_center_bias
The Independent,left_center_bias
The Irish Times,left_center_bias
The Moscow Times,left_center_bias
Wings Over Scotland,left_center_bias
iPolitics,left_center_bias
Bipartisan Report,questionable_source
True Activist,questionable_source
Breitbart,questionable_source
CNS News,questionable_source
FrontPage Magazine,questionable_source
The Gateway Pundit,questionable_source
DC Gazette,questionable_source
Freedom Daily,questionable_source
The D.C. Clothesline,questionable_source
Daily Mail,questionable_source
Daily Stormer,questionable_source
LewRockwell,questionable_source
Newswars,questionable_source
Pamela Geller Report,questionable_source
The Duran,questionable_source
Daily Signal,right_bias
National Review,right_bias
RedState,right_bias
The Daily Caller,right_bias
Western Journal,right_bias
Drudge Report,right_bias
Fox News,right_bias
Hot Air,right_bias
The Washington Examiner,right_bias
Bearing Arms,right_bias
The Political Insider,right_bias
The Right Scoop,right_bias
TheBlaze,right_bias
Investors Business Daily,right_bias
The Daily Express,right_bias
The Sun,right_bias
The American Conservative,right_center_bias
Real Clear Politics,right_center_bias
New York Post,right_center_bias
The Fiscal Times,right_center_bias
The Telegraph,right_center_bias
Evening Standard,right_center_bias
Fortune,right_center_bias
Russia-Insider,right_center_bias
Sputnik,right_center_bias
Tass,right_center_bias
News Biscuit,satire
Real News Right Now,satire
The Beaverton,satire
The Borowitz Report,satire
The Chaser,satire
The Onion,satire
The Shovel,satire
The Spoof,satire
